step,spawn_x,spawn_y,goal_x,goal_y,dist,speed,yaw_error_deg,left_action,right_action,r_dist,r_progress,r_align,r_time,r_action,r_total,cumulative,goal_reached
0,0.00000,0.00000,0.23643,9.00927,9.01238,0.00396,88.49402,-0.06695,0.52271,-0.38459,0.00000,0.00000,-0.05000,-0.00263,-0.43722,-0.43722,False
1,0.00000,0.00000,0.23643,9.00927,9.01239,0.06997,88.48896,-0.13482,-0.15794,-0.38459,0.00000,0.00010,-0.05000,-0.00342,-0.43802,-0.87524,False
2,0.00000,0.00000,0.23643,9.00927,9.01240,0.09234,88.48528,0.02743,-0.29584,-0.38459,0.00000,0.00015,-0.05000,-0.00106,-0.43563,-1.31087,False
3,0.00000,0.00000,0.23643,9.00927,9.01242,0.16482,88.47926,-0.34783,-0.47461,-0.38459,0.00000,0.00037,-0.05000,-0.00208,-0.43653,-1.74740,False
4,0.00000,0.00000,0.23643,9.00927,9.01245,0.22875,88.47093,-0.21302,-0.05984,-0.38459,0.00000,0.00067,-0.05000,-0.00218,-0.43642,-2.18383,False
5,0.00000,0.00000,0.23643,9.00927,9.01249,0.29918,88.46036,-0.32006,-0.29858,-0.38460,0.00000,0.00115,-0.05000,-0.00131,-0.43515,-2.61898,False
6,0.00000,0.00000,0.23643,9.00927,9.01254,0.36856,88.44760,-0.22664,-0.47513,-0.38460,0.00000,0.00182,-0.05000,-0.00100,-0.43428,-3.05326,False
7,0.00000,0.00000,0.23643,9.00927,9.01259,0.36302,88.43801,0.59472,-0.51839,-0.38460,0.00000,0.00177,-0.05000,-0.00411,-0.43742,-3.49068,False
8,0.00000,0.00000,0.23643,9.00927,9.01263,0.28369,88.43091,0.41635,0.24432,-0.38460,0.00000,0.00105,-0.05000,-0.00392,-0.43784,-3.92851,False
9,0.00000,0.00000,0.23643,9.00927,9.01267,0.32289,88.42134,-0.24890,-0.01325,-0.38460,0.00000,0.00139,-0.05000,-0.00357,-0.43722,-4.36573,False
10,0.00000,0.00000,0.23643,9.00927,9.01272,0.31804,88.41495,0.67630,-0.38578,-0.38460,0.00000,0.00135,-0.05000,-0.00499,-0.43868,-4.80441,False
11,0.00000,0.00000,0.23643,9.00927,9.01276,0.31326,88.41164,0.77804,-0.91405,-0.38460,0.00000,0.00131,-0.05000,-0.00269,-0.43637,-5.24078,False
12,0.00000,0.00000,0.23643,9.00927,9.01279,0.28991,88.40684,-0.03715,0.62151,-0.38460,0.00000,0.00112,-0.05000,-0.00869,-0.44257,-5.68335,False
13,0.00000,0.00000,0.23643,9.00927,9.01282,0.21169,88.40449,0.20314,0.20826,-0.38460,0.00000,0.00060,-0.05000,-0.00239,-0.43667,-6.12002,False
14,0.00000,0.00000,0.23643,9.00927,9.01284,0.13464,88.40457,0.21265,0.26681,-0.38460,0.00000,0.00028,-0.05000,-0.00030,-0.43479,-6.55481,False
15,0.00000,0.00000,0.23643,9.00927,9.01286,0.14327,88.40181,-0.41329,0.05336,-0.38461,0.00000,0.00031,-0.05000,-0.00331,-0.43781,-6.99262,False
16,0.00000,0.00000,0.23643,9.00927,9.01288,0.14112,88.40208,0.14902,-0.63817,-0.38461,0.00000,0.00030,-0.05000,-0.00446,-0.43892,-7.43154,False
17,0.00000,0.00000,0.23643,9.00927,9.01290,0.17595,88.40276,-0.00002,-0.90701,-0.38461,0.00000,0.00043,-0.05000,-0.00154,-0.43594,-7.86748,False
18,0.00000,0.00000,0.23643,9.00927,9.01291,0.09944,88.40582,0.47070,0.17370,-0.38461,0.00000,0.00018,-0.05000,-0.00589,-0.44044,-8.30792,False
19,0.00000,0.00000,0.23643,9.00927,9.01292,0.09795,88.41189,0.96508,-0.85784,-0.38461,0.00000,0.00017,-0.05000,-0.00572,-0.44025,-8.74817,False
20,0.00000,0.00000,0.23643,9.00927,9.01292,0.02260,88.42033,0.68344,0.31535,-0.38461,0.00000,0.00003,-0.05000,-0.00603,-0.44060,-9.18877,False
21,0.00000,0.00000,0.23643,9.00927,9.01293,0.09614,88.42642,-0.86264,-0.29905,-0.38461,0.00000,0.00017,-0.05000,-0.00832,-0.44287,-9.63164,False
22,0.00000,0.00000,0.23643,9.00927,9.01295,0.16857,88.43014,-0.28957,-0.19207,-0.38461,0.00000,0.00040,-0.05000,-0.00291,-0.43732,-10.06896,False
23,0.00000,0.00000,0.23643,9.00927,9.01297,0.16604,88.43691,0.18865,-0.53927,-0.38461,0.00000,0.00038,-0.05000,-0.00295,-0.43735,-10.50631,False
24,0.00000,0.00000,0.23643,9.00927,9.01297,0.08968,88.44607,0.24784,0.19038,-0.38461,0.00000,0.00015,-0.05000,-0.00366,-0.43820,-10.94451,False
25,0.00000,0.00000,0.23643,9.00927,9.01298,0.08833,88.45820,0.97879,-0.90700,-0.38461,0.00000,0.00014,-0.05000,-0.00659,-0.44111,-11.38562,False
26,0.00000,0.00000,0.23643,9.00927,9.01299,0.16088,88.46798,-0.88895,-0.52638,-0.38461,0.00000,0.00036,-0.05000,-0.00953,-0.44394,-11.82956,False
27,0.00000,0.00000,0.23643,9.00927,9.01300,0.08459,88.48014,0.48567,0.62847,-0.38461,0.00000,0.00013,-0.05000,-0.00898,-0.44351,-12.27307,False
28,0.00000,0.00000,0.23643,9.00927,9.01300,0.08332,88.49527,0.54430,-0.13395,-0.38461,0.00000,0.00013,-0.05000,-0.00382,-0.43834,-12.71141,False
29,0.00000,0.00000,0.23643,9.00927,9.01302,0.15595,88.50800,-0.51402,-0.68228,-0.38461,0.00000,0.00033,-0.05000,-0.00596,-0.44037,-13.15178,False
30,0.00000,0.00000,0.23643,9.00927,9.01302,0.07973,88.52311,0.94317,0.95631,-0.38461,0.00000,0.00012,-0.05000,-0.01096,-0.44549,-13.59727,False
31,0.00000,0.00000,0.23643,9.00927,9.01302,0.05278,88.53860,0.01665,0.03565,-0.38461,0.00000,0.00007,-0.05000,-0.00653,-0.44107,-14.03835,False
32,0.00000,0.00000,0.23643,9.00927,9.01303,0.12586,88.55174,-0.62670,-0.41769,-0.38461,0.00000,0.00023,-0.05000,-0.00394,-0.43841,-14.47676,False
33,0.00000,0.00000,0.23643,9.00927,9.01305,0.18817,88.56242,-0.61842,-0.05535,-0.38461,0.00000,0.00044,-0.05000,-0.00181,-0.43616,-14.91292,False
34,0.00000,0.00000,0.23643,9.00927,9.01306,0.11147,88.57552,0.35492,0.09293,-0.38461,0.00000,0.00018,-0.05000,-0.00492,-0.43944,-15.35236,False
35,0.00000,0.00000,0.23643,9.00927,9.01307,0.17481,88.58685,-0.05700,-0.47727,-0.38461,0.00000,0.00038,-0.05000,-0.00352,-0.43789,-15.79026,False
36,0.00000,0.00000,0.23643,9.00927,9.01309,0.17218,88.60122,0.73826,-0.20025,-0.38461,0.00000,0.00036,-0.05000,-0.00421,-0.43860,-16.22886,False
37,0.00000,0.00000,0.23643,9.00927,9.01310,0.14897,88.61409,-0.03311,0.21540,-0.38461,0.00000,0.00028,-0.05000,-0.00438,-0.43884,-16.66769,False
38,0.00000,0.00000,0.23643,9.00927,9.01311,0.14674,88.62997,0.66717,-0.21741,-0.38461,0.00000,0.00027,-0.05000,-0.00412,-0.43857,-17.10627,False
39,0.00000,0.00000,0.23643,9.00927,9.01311,0.09718,88.64838,0.11229,0.02116,-0.38461,0.00000,0.00014,-0.05000,-0.00302,-0.43753,-17.54379,False
40,0.00000,0.00000,0.23643,9.00927,9.01311,0.06870,88.66956,0.46701,-0.02013,-0.38461,0.00000,0.00009,-0.05000,-0.00179,-0.43631,-17.98010,False
41,0.00000,0.00000,0.23643,9.00927,9.01312,0.14154,88.68829,-0.50590,-0.93659,-0.38461,0.00000,0.00024,-0.05000,-0.00668,-0.44114,-18.42124,False
42,0.00000,0.00000,0.23643,9.00927,9.01313,0.17370,88.70433,-0.87336,0.00539,-0.38461,0.00000,0.00034,-0.05000,-0.00506,-0.43946,-18.86070,False
43,0.00000,0.00000,0.23643,9.00927,9.01315,0.18710,88.72223,0.04248,-0.13102,-0.38461,0.00000,0.00038,-0.05000,-0.00463,-0.43899,-19.29969,False
44,0.00000,0.00000,0.23643,9.00927,9.01317,0.25817,88.73777,-0.58907,-0.21122,-0.38461,0.00000,0.00069,-0.05000,-0.00318,-0.43733,-19.73701,False
45,0.00000,0.00000,0.23643,9.00927,9.01319,0.25430,88.75632,0.61313,-0.65370,-0.38461,0.00000,0.00066,-0.05000,-0.00641,-0.44056,-20.17757,False
46,0.00000,0.00000,0.23643,9.00927,9.01320,0.17661,88.77722,0.80782,0.27063,-0.38461,0.00000,0.00033,-0.05000,-0.00472,-0.43912,-20.61670,False
47,0.00000,0.00000,0.23643,9.00927,9.01321,0.17396,88.79514,-0.51119,0.14084,-0.38461,0.00000,0.00032,-0.05000,-0.00663,-0.44105,-21.05775,False
48,0.00000,0.00000,0.23643,9.00927,9.01323,0.24522,88.81071,-0.74904,-0.25421,-0.38462,0.00000,0.00059,-0.05000,-0.00231,-0.43654,-21.49428,False
49,0.00000,0.00000,0.23643,9.00927,9.01325,0.17490,88.82815,0.06033,0.79221,-0.38462,0.00000,0.00031,-0.05000,-0.00661,-0.44105,-21.93534,False
50,0.00000,0.00000,0.23643,9.00927,9.01326,0.17228,88.84258,-0.26047,0.80483,-0.38462,0.00000,0.00030,-0.05000,-0.00161,-0.43607,-22.37140,False
51,0.00000,0.00000,0.23643,9.00927,9.01328,0.24356,88.85465,-0.34499,-0.94673,-0.38462,0.00000,0.00056,-0.05000,-0.00877,-0.44304,-22.81444,False
52,0.00000,0.00000,0.23643,9.00927,9.01330,0.23991,88.86979,0.62807,-0.71277,-0.38462,0.00000,0.00053,-0.05000,-0.00500,-0.43929,-23.25373,False
53,0.00000,0.00000,0.23643,9.00927,9.01331,0.16244,88.88727,0.96135,0.11103,-0.38462,0.00000,0.00026,-0.05000,-0.00444,-0.43893,-23.69266,False
54,0.00000,0.00000,0.23643,9.00927,9.01332,0.09193,88.90669,0.06323,0.45375,-0.38462,0.00000,0.00011,-0.05000,-0.00481,-0.43938,-24.13204,False
55,0.00000,0.00000,0.23643,9.00927,9.01332,0.09055,88.92907,0.22740,-0.64376,-0.38462,0.00000,0.00010,-0.05000,-0.00555,-0.44010,-24.57214,False
56,0.00000,0.00000,0.23643,9.00927,9.01333,0.08919,88.95437,0.73040,-0.14998,-0.38462,0.00000,0.00010,-0.05000,-0.00352,-0.43807,-25.01021,False
57,0.00000,0.00000,0.23643,9.00927,9.01333,0.10593,88.97678,-0.57307,0.03829,-0.38462,0.00000,0.00012,-0.05000,-0.00658,-0.44113,-25.45134,False
58,0.00000,0.00000,0.23643,9.00927,9.01333,0.03050,89.00150,0.53577,0.30176,-0.38462,0.00000,0.00002,-0.05000,-0.00570,-0.44026,-25.89161,False
59,0.00000,0.00000,0.23643,9.00927,9.01332,0.00237,89.02543,-0.01054,0.20392,-0.38462,0.00000,0.00000,-0.05000,-0.00277,-0.43735,-26.32896,False
60,0.00000,0.00000,0.23643,9.00927,9.01332,0.00233,89.04628,-0.91534,0.16598,-0.38462,0.00000,0.00000,-0.05000,-0.00453,-0.43912,-26.76807,False
61,0.00000,0.00000,0.23643,9.00927,9.01332,0.00230,89.07005,0.08581,-0.82419,-0.38462,0.00000,0.00000,-0.05000,-0.00704,-0.44161,-27.20968,False
62,0.00000,0.00000,0.23643,9.00927,9.01331,0.00226,89.09671,0.75235,-0.66663,-0.38462,0.00000,0.00000,-0.05000,-0.00342,-0.43799,-27.64767,False
63,0.00000,0.00000,0.23643,9.00927,9.01331,0.00223,89.12029,-0.75606,0.79064,-0.38462,0.00000,0.00000,-0.05000,-0.01049,-0.44505,-28.09273,False
64,0.00000,0.00000,0.23643,9.00927,9.01331,0.07227,89.14143,-0.73784,-0.92801,-0.38462,0.00000,0.00006,-0.05000,-0.00859,-0.44316,-28.53589,False
65,0.00000,0.00000,0.23643,9.00927,9.01331,0.07118,89.16550,0.86503,-0.19786,-0.38462,0.00000,0.00006,-0.05000,-0.00881,-0.44337,-28.97926,False
66,0.00000,0.00000,0.23643,9.00927,9.01331,0.07011,89.18655,-0.48006,0.50557,-0.38462,0.00000,0.00005,-0.05000,-0.00759,-0.44217,-29.42143,False
67,0.00000,0.00000,0.23643,9.00927,9.01331,0.06352,89.20490,-0.06374,0.20957,-0.38462,0.00000,0.00005,-0.05000,-0.00255,-0.43713,-29.85856,False
68,0.00000,0.00000,0.23643,9.00927,9.01332,0.06256,89.22023,-0.92671,0.83258,-0.38462,0.00000,0.00004,-0.05000,-0.00532,-0.43993,-30.29850,False
69,0.00000,0.00000,0.23643,9.00927,9.01332,0.13549,89.23321,-0.43525,-0.25872,-0.38462,0.00000,0.00013,-0.05000,-0.00598,-0.44055,-30.73905,False
70,0.00000,0.00000,0.23643,9.00927,9.01334,0.20732,89.24380,-0.57845,-0.41405,-0.38462,0.00000,0.00027,-0.05000,-0.00106,-0.43553,-31.17458,False
71,0.00000,0.00000,0.23643,9.00927,9.01334,0.13034,89.25681,0.69941,0.21205,-0.38462,0.00000,0.00012,-0.05000,-0.00712,-0.44169,-31.61627,False
72,0.00000,0.00000,0.23643,9.00927,9.01335,0.12838,89.27277,0.20364,-0.13906,-0.38462,0.00000,0.00011,-0.05000,-0.00304,-0.43760,-32.05387,False
73,0.00000,0.00000,0.23643,9.00927,9.01336,0.17181,89.28845,-0.01711,-0.77062,-0.38462,0.00000,0.00018,-0.05000,-0.00335,-0.43787,-32.49174,False
74,0.00000,0.00000,0.23643,9.00927,9.01336,0.16923,89.30714,0.62950,-0.92951,-0.38462,0.00000,0.00017,-0.05000,-0.00333,-0.43785,-32.92958,False
75,0.00000,0.00000,0.23643,9.00927,9.01337,0.24056,89.32345,-0.90281,-0.53023,-0.38462,0.00000,0.00031,-0.05000,-0.00792,-0.44233,-33.37191,False
76,0.00000,0.00000,0.23643,9.00927,9.01338,0.23695,89.34277,0.85355,-0.73290,-0.38462,0.00000,0.00030,-0.05000,-0.00884,-0.44326,-33.81517,False
77,0.00000,0.00000,0.23643,9.00927,9.01339,0.23339,89.36511,0.80508,-0.27849,-0.38462,0.00000,0.00028,-0.05000,-0.00228,-0.43670,-34.25187,False
78,0.00000,0.00000,0.23643,9.00927,9.01340,0.30376,89.38509,-0.32132,-0.70214,-0.38462,0.00000,0.00046,-0.05000,-0.00602,-0.44029,-34.69217,False
79,0.00000,0.00000,0.23643,9.00927,9.01342,0.37306,89.40276,-0.53155,-0.16861,-0.38462,0.00000,0.00069,-0.05000,-0.00287,-0.43694,-35.12911,False
80,0.00000,0.00000,0.23643,9.00927,9.01344,0.44133,89.41817,-0.85163,-0.91464,-0.38462,0.00000,0.00098,-0.05000,-0.00406,-0.43790,-35.56701,False
81,0.00000,0.00000,0.23643,9.00927,9.01345,0.36370,89.43579,0.06918,0.94008,-0.38462,0.00000,0.00062,-0.05000,-0.01035,-0.44452,-36.01153,False
82,0.00000,0.00000,0.23643,9.00927,9.01347,0.35823,89.45049,-0.60167,0.36566,-0.38462,0.00000,0.00058,-0.05000,-0.00442,-0.43862,-36.45015,False
83,0.00000,0.00000,0.23643,9.00927,9.01349,0.42672,89.46292,-0.53548,-0.91569,-0.38462,0.00000,0.00084,-0.05000,-0.00642,-0.44040,-36.89055,False
84,0.00000,0.00000,0.23643,9.00927,9.01351,0.42031,89.47844,0.76708,-0.48055,-0.38462,0.00000,0.00079,-0.05000,-0.00687,-0.44089,-37.33144,False
85,0.00000,0.00000,0.23643,9.00927,9.01353,0.41400,89.49707,0.87952,-0.33006,-0.38462,0.00000,0.00073,-0.05000,-0.00094,-0.43501,-37.76645,False
86,0.00000,0.00000,0.23643,9.00927,9.01355,0.48165,89.51340,-0.40439,-0.41336,-0.38462,0.00000,0.00100,-0.05000,-0.00643,-0.44027,-38.20672,False
87,0.00000,0.00000,0.23643,9.00927,9.01357,0.47442,89.52685,-0.66043,0.21693,-0.38462,0.00000,0.00094,-0.05000,-0.00340,-0.43732,-38.64404,False
88,0.00000,0.00000,0.23643,9.00927,9.01359,0.46729,89.54343,0.72786,-0.31915,-0.38462,0.00000,0.00087,-0.05000,-0.00744,-0.44139,-39.08543,False
89,0.00000,0.00000,0.23643,9.00927,9.01361,0.53415,89.55778,-0.55767,-0.87012,-0.38463,0.00000,0.00114,-0.05000,-0.00699,-0.44072,-39.52615,False
90,0.00000,0.00000,0.23643,9.00927,9.01364,0.52612,89.56925,-0.15749,0.54541,-0.38463,0.00000,0.00107,-0.05000,-0.00736,-0.44117,-39.96732,False
91,0.00000,0.00000,0.23643,9.00927,9.01367,0.51822,89.58384,0.66664,-0.52064,-0.38463,0.00000,0.00100,-0.05000,-0.00674,-0.44061,-40.40793,False
92,0.00000,0.00000,0.23643,9.00927,9.01369,0.51044,89.59562,-0.21100,0.63159,-0.38463,0.00000,0.00094,-0.05000,-0.00724,-0.44119,-40.84911,False
93,0.00000,0.00000,0.23643,9.00927,9.01372,0.50277,89.60449,-0.43034,0.44727,-0.38463,0.00000,0.00089,-0.05000,-0.00143,-0.43545,-41.28456,False
94,0.00000,0.00000,0.23643,9.00927,9.01375,0.49522,89.61056,-0.07979,0.40252,-0.38463,0.00000,0.00085,-0.05000,-0.00177,-0.43584,-41.72040,False
95,0.00000,0.00000,0.23643,9.00927,9.01378,0.56166,89.61444,-0.67224,-0.88368,-0.38463,0.00000,0.00111,-0.05000,-0.00708,-0.44092,-42.16131,False
96,0.00000,0.00000,0.23643,9.00927,9.01381,0.58660,89.61906,0.00721,-0.16613,-0.38463,0.00000,0.00120,-0.05000,-0.00494,-0.43869,-42.60001,False
97,0.00000,0.00000,0.23643,9.00927,9.01384,0.50393,89.62624,0.12320,0.59482,-0.38463,0.00000,0.00084,-0.05000,-0.00385,-0.43793,-43.03794,False
98,0.00000,0.00000,0.23643,9.00927,9.01387,0.49636,89.63056,-0.14217,0.33930,-0.38463,0.00000,0.00081,-0.05000,-0.00184,-0.43599,-43.47393,False
99,0.00000,0.00000,0.23643,9.00927,9.01391,0.56277,89.63272,-0.74372,-0.44412,-0.38463,0.00000,0.00106,-0.05000,-0.00494,-0.43884,-43.91277,False
100,0.00000,0.00000,0.23643,9.00927,9.01394,0.48046,89.63739,0.97690,0.82433,-0.38463,0.00000,0.00073,-0.05000,-0.01069,-0.44490,-44.35767,False
101,0.00000,0.00000,0.23643,9.00927,9.01397,0.46187,89.64512,0.83681,-0.05190,-0.38463,0.00000,0.00066,-0.05000,-0.00444,-0.43872,-44.79639,False
102,0.00000,0.00000,0.23643,9.00927,9.01400,0.45493,89.65600,0.57735,-0.63616,-0.38464,0.00000,0.00062,-0.05000,-0.00320,-0.43749,-45.23388,False
103,0.00000,0.00000,0.23643,9.00927,9.01403,0.52197,89.66463,-0.57491,-0.36519,-0.38464,0.00000,0.00082,-0.05000,-0.00592,-0.44005,-45.67394,False
104,0.00000,0.00000,0.23643,9.00927,9.01406,0.51413,89.67042,-0.09153,0.34249,-0.38464,0.00000,0.00078,-0.05000,-0.00429,-0.43846,-46.11240,False
105,0.00000,0.00000,0.23643,9.00927,9.01409,0.57307,89.67397,-0.95074,-0.06036,-0.38464,0.00000,0.00098,-0.05000,-0.00474,-0.43874,-46.55114,False
106,0.00000,0.00000,0.23643,9.00927,9.01413,0.56446,89.67471,-0.48526,0.21095,-0.38464,0.00000,0.00094,-0.05000,-0.00269,-0.43676,-46.98790,False
107,0.00000,0.00000,0.23643,9.00927,9.01416,0.48212,89.67802,0.83592,0.69175,-0.38464,0.00000,0.00066,-0.05000,-0.00703,-0.44135,-47.42925,False
108,0.00000,0.00000,0.23643,9.00927,9.01420,0.54875,89.67914,-0.40067,-0.40131,-0.38464,0.00000,0.00087,-0.05000,-0.00825,-0.44237,-47.87162,False
109,0.00000,0.00000,0.23643,9.00927,9.01423,0.46664,89.68280,0.80395,0.74060,-0.38464,0.00000,0.00060,-0.05000,-0.00830,-0.44268,-48.31430,False
110,0.00000,0.00000,0.23643,9.00927,9.01427,0.53350,89.68424,-0.38562,-0.20481,-0.38464,0.00000,0.00081,-0.05000,-0.00760,-0.44180,-48.75610,False
111,0.00000,0.00000,0.23643,9.00927,9.01431,0.59935,89.68353,-0.59353,-0.93985,-0.38464,0.00000,0.00104,-0.05000,-0.00382,-0.43779,-49.19389,False
112,0.00000,0.00000,0.23643,9.00927,9.01434,0.59035,89.68006,-0.37202,0.17678,-0.38464,0.00000,0.00102,-0.05000,-0.00569,-0.43971,-49.63360,False
113,0.00000,0.00000,0.23643,9.00927,9.01438,0.50762,89.67916,0.83752,0.61758,-0.38465,0.00000,0.00073,-0.05000,-0.00644,-0.44073,-50.07433,False
114,0.00000,0.00000,0.23643,9.00927,9.01442,0.49999,89.68143,0.11681,-0.44930,-0.38465,0.00000,0.00070,-0.05000,-0.00644,-0.44074,-50.51507,False
115,0.00000,0.00000,0.23643,9.00927,9.01445,0.49248,89.68687,0.33630,-0.71420,-0.38465,0.00000,0.00067,-0.05000,-0.00172,-0.43604,-50.95111,False
116,0.00000,0.00000,0.23643,9.00927,9.01449,0.41122,89.69479,0.35981,0.28557,-0.38465,0.00000,0.00043,-0.05000,-0.00500,-0.43954,-51.39065,False
117,0.00000,0.00000,0.23643,9.00927,9.01451,0.33119,89.70520,0.68309,0.35764,-0.38465,0.00000,0.00026,-0.05000,-0.00166,-0.43634,-51.82699,False
118,0.00000,0.00000,0.23643,9.00927,9.01455,0.31221,89.71370,-0.04656,0.92879,-0.38465,0.00000,0.00022,-0.05000,-0.00463,-0.43937,-52.26636,False
119,0.00000,0.00000,0.23643,9.00927,9.01458,0.27596,89.72208,0.00218,0.06193,-0.38465,0.00000,0.00017,-0.05000,-0.00434,-0.43912,-52.70548,False
120,0.00000,0.00000,0.23643,9.00927,9.01461,0.34567,89.72820,-0.36736,-0.44922,-0.38465,0.00000,0.00026,-0.05000,-0.00315,-0.43786,-53.14334,False
121,0.00000,0.00000,0.23643,9.00927,9.01464,0.34048,89.73143,-0.45702,0.92984,-0.38465,0.00000,0.00025,-0.05000,-0.00691,-0.44165,-53.58498,False
122,0.00000,0.00000,0.23643,9.00927,9.01467,0.40923,89.73241,-0.68893,-0.12276,-0.38465,0.00000,0.00038,-0.05000,-0.00539,-0.43999,-54.02497,False
123,0.00000,0.00000,0.23643,9.00927,9.01471,0.40308,89.73055,-0.55669,0.17080,-0.38465,0.00000,0.00037,-0.05000,-0.00161,-0.43625,-54.46122,False
124,0.00000,0.00000,0.23643,9.00927,9.01474,0.47089,89.72649,-0.82587,-0.99549,-0.38466,0.00000,0.00053,-0.05000,-0.00598,-0.44048,-54.90171,False
125,0.00000,0.00000,0.23643,9.00927,9.01478,0.38996,89.72495,0.64273,0.95842,-0.38466,0.00000,0.00035,-0.05000,-0.01222,-0.44687,-55.34858,False
126,0.00000,0.00000,0.23643,9.00927,9.01482,0.45797,89.72121,-0.73211,-0.87722,-0.38466,0.00000,0.00050,-0.05000,-0.01147,-0.44598,-55.79457,False
127,0.00000,0.00000,0.23643,9.00927,9.01485,0.45109,89.72066,0.93900,-0.80441,-0.38466,0.00000,0.00049,-0.05000,-0.00836,-0.44288,-56.23744,False
128,0.00000,0.00000,0.23643,9.00927,9.01488,0.44432,89.72326,0.35792,-0.97242,-0.38466,0.00000,0.00047,-0.05000,-0.00302,-0.43756,-56.67500,False
129,0.00000,0.00000,0.23643,9.00927,9.01491,0.43765,89.72900,0.94996,-0.49050,-0.38466,0.00000,0.00044,-0.05000,-0.00382,-0.43834,-57.11334,False
130,0.00000,0.00000,0.23643,9.00927,9.01494,0.35722,89.73719,0.93960,0.85560,-0.38466,0.00000,0.00027,-0.05000,-0.00673,-0.44141,-57.55475,False
131,0.00000,0.00000,0.23643,9.00927,9.01497,0.35185,89.74252,-0.22855,0.19990,-0.38466,0.00000,0.00026,-0.05000,-0.00670,-0.44141,-57.99616,False
132,0.00000,0.00000,0.23643,9.00927,9.01501,0.42043,89.74561,-0.59641,-0.57463,-0.38466,0.00000,0.00038,-0.05000,-0.00429,-0.43889,-58.43505,False
133,0.00000,0.00000,0.23643,9.00927,9.01504,0.41412,89.74583,-0.64915,0.15060,-0.38466,0.00000,0.00037,-0.05000,-0.00364,-0.43828,-58.87332,False
134,0.00000,0.00000,0.23643,9.00927,9.01507,0.40791,89.74323,-0.42065,0.67080,-0.38466,0.00000,0.00036,-0.05000,-0.00284,-0.43749,-59.31081,False
135,0.00000,0.00000,0.23643,9.00927,9.01511,0.40178,89.73776,-0.65862,0.56810,-0.38467,0.00000,0.00035,-0.05000,-0.00130,-0.43596,-59.74677,False
136,0.00000,0.00000,0.23643,9.00927,9.01514,0.35647,89.73515,0.90373,0.00477,-0.38467,0.00000,0.00027,-0.05000,-0.00830,-0.44304,-60.18981,False
137,0.00000,0.00000,0.23643,9.00927,9.01518,0.35112,89.73563,0.28751,-0.68653,-0.38467,0.00000,0.00026,-0.05000,-0.00463,-0.43936,-60.62917,False
138,0.00000,0.00000,0.23643,9.00927,9.01521,0.41971,89.73389,-0.51144,-0.67170,-0.38467,0.00000,0.00040,-0.05000,-0.00400,-0.43861,-61.06778,False
139,0.00000,0.00000,0.23643,9.00927,9.01524,0.36050,89.73484,0.78340,0.03247,-0.38467,0.00000,0.00028,-0.05000,-0.00737,-0.44207,-61.50985,False
140,0.00000,0.00000,0.23643,9.00927,9.01528,0.35509,89.73293,-0.63836,0.37370,-0.38467,0.00000,0.00027,-0.05000,-0.00731,-0.44204,-61.95190,False
141,0.00000,0.00000,0.23643,9.00927,9.01531,0.33012,89.73397,0.95489,-0.03512,-0.38467,0.00000,0.00023,-0.05000,-0.00822,-0.44298,-62.39487,False
142,0.00000,0.00000,0.23643,9.00927,9.01534,0.32517,89.73214,-0.21648,0.16951,-0.38467,0.00000,0.00023,-0.05000,-0.00595,-0.44071,-62.83559,False
143,0.00000,0.00000,0.23643,9.00927,9.01537,0.39415,89.72810,-0.75901,-0.17266,-0.38467,0.00000,0.00035,-0.05000,-0.00321,-0.43786,-63.27345,False
144,0.00000,0.00000,0.23643,9.00927,9.01541,0.38823,89.72118,-0.26569,0.67810,-0.38467,0.00000,0.00035,-0.05000,-0.00492,-0.43959,-63.71304,False
145,0.00000,0.00000,0.23643,9.00927,9.01544,0.45627,89.71211,-0.55612,-0.71944,-0.38467,0.00000,0.00052,-0.05000,-0.00714,-0.44167,-64.15470,False
146,0.00000,0.00000,0.23643,9.00927,9.01548,0.44943,89.70624,0.82544,-0.71010,-0.38467,0.00000,0.00051,-0.05000,-0.00691,-0.44143,-64.59613,False
147,0.00000,0.00000,0.23643,9.00927,9.01552,0.51655,89.69818,-0.14474,-0.82573,-0.38468,0.00000,0.00072,-0.05000,-0.00489,-0.43922,-65.03534,False
148,0.00000,0.00000,0.23643,9.00927,9.01555,0.50880,89.69334,0.38700,-0.98109,-0.38468,0.00000,0.00071,-0.05000,-0.00277,-0.43710,-65.47245,False
149,0.00000,0.00000,0.23643,9.00927,9.01559,0.42730,89.69105,0.49791,0.69746,-0.38468,0.00000,0.00048,-0.05000,-0.00841,-0.44295,-65.91540,False
150,0.00000,0.00000,0.23643,9.00927,9.01562,0.42089,89.69186,0.73559,-0.76977,-0.38468,0.00000,0.00046,-0.05000,-0.00743,-0.44196,-66.35736,False
151,0.00000,0.00000,0.23643,9.00927,9.01565,0.41457,89.69588,0.79899,-0.21990,-0.38468,0.00000,0.00044,-0.05000,-0.00277,-0.43730,-66.79467,False
152,0.00000,0.00000,0.23643,9.00927,9.01568,0.40835,89.69701,-0.93819,0.90146,-0.38468,0.00000,0.00042,-0.05000,-0.01034,-0.44492,-67.23959,False
153,0.00000,0.00000,0.23643,9.00927,9.01571,0.32836,89.70064,0.62015,0.83695,-0.38468,0.00000,0.00026,-0.05000,-0.00780,-0.44252,-67.68210,False
